# This file contains the energy consumption and yields of your device "aroTHERM plus" with serial 21242400100211311610007619N7 exported at 2025-06-07 09:51:54.
# All values are given in Watt hours (Wh)
DateTime;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater
2025-01-01 00:00:00;12853.9;784.3;61073.1;2364.9;49161.3;1654.6
2025-01-02 00:00:00;28218.3;1117.8;94728.5;2471.5;73012.2;1464.8
2025-01-03 00:00:00;34497.4;930.2;103843.2;1651;78080;840.4
2025-01-04 00:00:00;32841.3;818.9;97364.5;1559.6;75326.8;821.4
2025-01-05 00:00:00;17890.3;1065;67553.1;2588.7;54933.1;1639.7
2025-01-06 00:00:00;21532.6;992.3;80739.6;3033.9;64323.1;2134.4
2025-01-07 00:00:00;32442.6;757.1;103046.8;1925;79533.1;1245.3
2025-01-08 00:00:00;31216.4;1097.3;93473.8;2419.9;71784.3;1458.5
2025-01-09 00:00:00;30349.9;949.3;95149.8;2086.4;73127.9;1240
2025-01-10 00:00:00;39340.6;837.6;107073.1;1776.8;78882.4;1019.4
2025-01-11 00:00:00;34678.3;1162.9;99283.6;2045.1;74704.2;1015.7
2025-01-12 00:00:00;31861.6;965.6;96398.5;1749.6;74214.1;880
2025-01-13 00:00:00;22321;615;83624.5;1285.1;66529.9;722.2
2025-01-14 00:00:00;17136.9;1056.8;66522.9;2245.5;53469.8;1287.3
2025-01-15 00:00:00;11602.3;679.5;53648.1;1741.9;42997.4;1122.9
2025-01-16 00:00:00;13844.7;587.1;61387.2;1343.2;48620.6;806
2025-01-17 00:00:00;16425.7;988.2;69614.1;2293.3;54460.9;1392.4
2025-01-18 00:00:00;23686.6;879.3;81635.3;1983.7;65181.9;1185.8
2025-01-19 00:00:00;28845.3;759.8;96858.9;1841.6;75118.1;1154.1
2025-01-20 00:00:00;17533.2;1206.9;59185.1;3513;46711.2;2477.8
2025-01-21 00:00:00;26971.7;915.9;89887.7;2243.1;71107.6;1422.6
2025-01-22 00:00:00;27418.8;708.4;89774.1;2075.2;71320.1;1442.3
2025-01-23 00:00:00;24797.2;1077.4;87211.5;2938.2;68917;1968.5
2025-01-24 00:00:00;15485.4;980;67043.8;2409.3;52617.2;1518.1
2025-01-25 00:00:00;25116.7;634.2;89796.3;1495.7;68245.8;915.3
2025-01-26 00:00:00;24589.7;1198.2;87354.8;2706.1;66867.4;1615
2025-01-27 00:00:00;18060.2;826.6;74554.5;2187.9;57671.9;1436
2025-01-28 00:00:00;15291.9;1837;65308.9;4852.7;51063.3;3178.9
2025-01-29 00:00:00;19949.3;195.8;78280;660.5;59662.8;485.8
2025-01-30 00:00:00;24556.6;861.8;83240.9;2445.2;63878.6;1669.4
2025-01-31 00:00:00;19112.3;804.8;72244.7;1904.2;56672.1;1172.9
2025-02-01 00:00:00;19694.1;965.5;75924.3;3431.1;58699.1;2572.7
2025-02-02 00:00:00;25660.3;809.1;82842.6;2342.5;65355;1620.1
2025-02-03 00:00:00;21545.6;833.8;77263.5;1973.8;60892.2;1221.4
2025-02-04 00:00:00;14519.8;966.8;63386.3;3541.2;49945.3;2680.3
2025-02-05 00:00:00;19627.1;1666.3;73507.9;4783.4;57695.6;3275.3
2025-02-06 00:00:00;24060.2;80.5;82300.2;220;64618.4;148.2
2025-02-07 00:00:00;25601.9;1010.8;85202.4;2762.9;68183.7;1853.6
2025-02-08 00:00:00;21381.4;871.8;81441.7;2455.2;64922.1;1670.4
2025-02-09 00:00:00;24036.3;792.9;86484.2;2498.6;68923.2;1791
2025-02-10 00:00:00;25422.8;1055.2;87183.7;2922.9;70047.3;1971.4
2025-02-11 00:00:00;25356.6;795.7;86714.2;2149.3;70367.2;1437.1
2025-02-12 00:00:00;23581;900;82680.5;2362.1;66899.2;1549.1
2025-02-13 00:00:00;23508.8;1946.4;83582.5;5204.7;64869.7;3452.5
2025-02-14 00:00:00;25648;892.9;89554.9;1818.7;67714;1010.1
2025-02-15 00:00:00;23602.4;1765.7;81891.7;5148.7;64246.7;3561.7
2025-02-16 00:00:00;27520.4;1862.1;91736.3;4425.3;69938;2750.1
2025-02-17 00:00:00;32742.9;919.9;98886.8;1792.5;72979;973.4
2025-02-18 00:00:00;1599.1;865.1;653.4;1612;488.3;827.6
